"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100A8",7.99199956476209e-127,0.559847223416762,0.858,0.552,2.08918860622446e-122,"0","S100A8"
"HBB",2.19309392227615e-125,2.1841071000585,0.305,0.117,5.7329668222221e-121,"0","HBB"
"S100A9",5.00193573411354e-98,0.39230838684029,0.874,0.553,1.30755602025462e-93,"0","S100A9"
"CD164",1.26690683520653e-37,0.27561890818805,0.111,0.257,3.3118211579134e-33,"0","CD164"
"RPS28",2.15946817142255e-28,0.307351047496295,0.178,0.345,5.64506574691569e-24,"0","RPS28"
"IFI27",4.24859450587031e-27,0.433443837555624,0.585,0.485,1.11062508977956e-22,"0","IFI27"
"RPL18A",1.77994569630382e-25,0.32358170103805,0.186,0.349,4.65295604470782e-21,"0","RPL18A"
"SERF2",1.02121198305986e-24,0.287010131412678,0.216,0.394,2.66955024491677e-20,"0","SERF2"
"UBA52",3.087782623713e-23,0.255716160747678,0.254,0.452,8.07177255664815e-19,"0","UBA52"
"RPS21",7.73942024476786e-23,0.275839673945851,0.252,0.447,2.02316184618477e-18,"0","RPS21"
"RPS27",3.79901569645142e-22,0.331070096972769,0.208,0.374,9.93100693209365e-18,"0","RPS27"
"RPL37",9.32299427891335e-21,0.398882494991945,0.18,0.325,2.43712393445074e-16,"0","RPL37"
"RPS29",1.00953561154064e-20,0.286956147497544,0.253,0.44,2.63902704212838e-16,"0","RPS29"
"RPS13",6.18681314384292e-20,0.250572577684936,0.27,0.467,1.61729482393198e-15,"0","RPS13"
"RPL27",1.08573652243733e-19,0.33351574469526,0.244,0.422,2.83822384330342e-15,"0","RPL27"
"S100A6",1.46871551088333e-10,0.26485377245264,0.295,0.46,3.83936921700011e-06,"0","S100A6"
"AC009501.4",1.06915255418269e-07,1.08700452710707,0.333,0.356,0.00279487169188897,"0","AC009501.4"
"TYROBP",0.0038815235406972,0.378812474782247,0.296,0.4,1,"0","TYROBP"
"S100A81",1.92318599934336e-239,0.88609116438345,0.955,0.552,5.02740052088346e-235,"1","S100A8"
"S100A91",8.82580071631954e-239,0.856817222129339,0.964,0.555,2.30715256525309e-234,"1","S100A9"
"IFI271",4.81032642460205e-192,0.91823355582912,0.85,0.427,1.25746743065522e-187,"1","IFI27"
"VCAN",1.00476147123714e-173,0.808719915664175,0.773,0.354,2.626546961961e-169,"1","VCAN"
"LYZ",5.16076099097476e-168,0.897350531192072,0.725,0.326,1.34907453065071e-163,"1","LYZ"
"CTSS",1.56562109387193e-155,0.824278920799987,0.837,0.466,4.09269010149062e-151,"1","CTSS"
"PSAP",3.36213140980196e-154,0.704939534113277,0.913,0.569,8.78894771836331e-150,"1","PSAP"
"FCN1",5.29382107625966e-139,0.924162181212637,0.643,0.296,1.38385776754504e-134,"1","FCN1"
"HBB1",2.1855053654967e-123,0.9164915642373,0.355,0.12,5.71312957594492e-119,"1","HBB"
"FTL",3.36557212383421e-113,0.701550080006239,0.822,0.518,8.79794208891502e-109,"1","FTL"
"CYBB",2.11019183230692e-109,0.893429130506229,0.582,0.283,5.51625246883351e-105,"1","CYBB"
"APLP2",1.23309757624915e-108,0.76096551656299,0.666,0.349,3.2234403740729e-104,"1","APLP2"
"PLBD1",7.44157331406635e-84,0.907485025430598,0.435,0.215,1.94530168003009e-79,"1","PLBD1"
"IFITM3",1.32524402510685e-81,0.706436563020949,0.633,0.357,3.46432040603182e-77,"1","IFITM3"
"FOS",3.17437973090194e-75,0.671998380904541,0.55,0.308,8.29814605455076e-71,"1","FOS"
"CD14",4.2597275298061e-71,0.86412342899554,0.436,0.226,1.11353537356661e-66,"1","CD14"
"S100A12",9.8482901722509e-71,0.934012653939339,0.364,0.179,2.57444153392811e-66,"1","S100A12"
"SERPINA1",5.38044801211773e-70,0.892443739157586,0.442,0.236,1.40650291484769e-65,"1","SERPINA1"
"GRN",1.20032109068094e-68,0.81768474475534,0.486,0.268,3.13775936314904e-64,"1","GRN"
"AIF1",1.21920164006529e-58,1.03212558952005,0.367,0.204,3.18711500729468e-54,"1","AIF1"
"TYROBP1",1.92880703650614e-56,0.681012323416153,0.535,0.332,5.0420944741307e-52,"1","TYROBP"
"ITGB2",4.62789909874054e-54,0.519667103222048,0.753,0.537,1.20977910340176e-49,"1","ITGB2"
"MPEG1",1.58586106723427e-48,0.994498841860083,0.339,0.195,4.1455994158571e-44,"1","MPEG1"
"SELL",1.82481637548794e-48,0.578243377110085,0.541,0.354,4.77025248716301e-44,"1","SELL"
"VIM",2.69201316942819e-45,0.562881813614335,0.592,0.407,7.03719162620223e-41,"1","VIM"
"SRGN",3.28949215839198e-43,0.524939232660691,0.6,0.434,8.59906145125247e-39,"1","SRGN"
"MNDA",1.55421748564467e-41,0.576152496008092,0.41,0.249,4.06287992922373e-37,"1","MNDA"
"CTSB",6.57366785045324e-40,0.766665943526783,0.401,0.258,1.71842251278698e-35,"1","CTSB"
"S100A61",1.63524426839899e-37,0.5691977870794,0.535,0.386,4.2746920420218e-33,"1","S100A6"
"FGL2",8.13711262888209e-37,0.796549857364119,0.377,0.247,2.12712261231607e-32,"1","FGL2"
"TKT",1.04302045993806e-34,0.731883852041661,0.392,0.262,2.72655978432407e-30,"1","TKT"
"OAZ1",1.43334224099402e-34,0.513383108416148,0.564,0.424,3.74689995218248e-30,"1","OAZ1"
"TYMP",2.92393144063456e-34,0.637694416242485,0.405,0.268,7.6434491789628e-30,"1","TYMP"
"TMSB10",1.70384937605266e-30,0.374798908465366,0.811,0.695,4.45403265393925e-26,"1","TMSB10"
"CST3",8.06440638549716e-28,0.767688682295987,0.31,0.204,2.10811647323281e-23,"1","CST3"
"FPR1",1.22113991283586e-27,0.919108950113868,0.275,0.178,3.19218184614422e-23,"1","FPR1"
"NCF2",1.75601518040625e-27,0.637304574410203,0.332,0.218,4.59039928309999e-23,"1","NCF2"
"CD74",2.20920882895535e-27,0.277488101517738,0.581,0.433,5.77509279977217e-23,"1","CD74"
"GPX1",4.1501308857256e-26,0.754612503064755,0.307,0.209,1.08488571483753e-21,"1","GPX1"
"PLAC8",1.04720098707047e-25,0.602323147189978,0.395,0.29,2.73748810030092e-21,"1","PLAC8"
"COTL1",1.10580990843737e-25,0.640342207354645,0.359,0.248,2.89069768164612e-21,"1","COTL1"
"S100A4",9.24410425911226e-24,0.560896685589884,0.443,0.343,2.41650129437454e-19,"1","S100A4"
"SAT1",2.52288286877314e-23,0.431655706085801,0.391,0.285,6.59506810725986e-19,"1","SAT1"
"HLA-DRA",1.30749738377347e-22,0.560054487019965,0.321,0.222,3.41792891092223e-18,"1","HLA-DRA"
"ACTB",3.16033837549511e-22,0.308511074539187,0.734,0.585,8.26144054738177e-18,"1","ACTB"
"LCP1",1.49207310342246e-21,0.297294875886157,0.798,0.64,3.90042829965665e-17,"1","LCP1"
"IFI6",8.65450171446349e-21,0.488442927295207,0.461,0.364,2.2623732931779e-16,"1","IFI6"
"LAPTM5",6.28599446414241e-20,0.374937787656099,0.554,0.439,1.64322181287147e-15,"1","LAPTM5"
"ANXA1",1.25750370588726e-19,0.56712930920257,0.415,0.323,3.28724043755989e-15,"1","ANXA1"
"GLUL",7.20872397755989e-18,0.675443899888049,0.291,0.213,1.88443253497393e-13,"1","GLUL"
"NFKBIA",1.36206349959021e-17,0.302264293350993,0.555,0.446,3.56057019427877e-13,"1","NFKBIA"
"SERF21",1.53063284500363e-17,0.511341701624401,0.406,0.332,4.001227320124e-13,"1","SERF2"
"SERPINB1",3.41532543336948e-17,0.649693997667881,0.296,0.22,8.92800221537116e-13,"1","SERPINB1"
"CD63",2.87910775196259e-16,0.686611739117446,0.29,0.219,7.52627557440542e-12,"1","CD63"
"ANXA2",4.26347287026732e-16,0.646039818270183,0.332,0.26,1.11451444301658e-11,"1","ANXA2"
"ENO1",1.69574890490341e-13,0.44233036925573,0.405,0.335,4.432857212308e-09,"1","ENO1"
"MYL6",7.75380307316647e-13,0.308808388177743,0.543,0.48,2.02692166135645e-08,"1","MYL6"
"ISG15",8.50327400283047e-13,0.457038767257325,0.419,0.357,2.22284085707991e-08,"1","ISG15"
"PKM",9.18838906136962e-13,0.448475855885937,0.358,0.286,2.40193678453263e-08,"1","PKM"
"OAS3",1.53200176749051e-12,0.446481074866714,0.376,0.306,4.00480582039694e-08,"1","OAS3"
"SAMHD1",1.56646303926167e-12,0.345098510450796,0.443,0.364,4.09489103093394e-08,"1","SAMHD1"
"LGALS1",2.5921510525013e-12,0.693216545908744,0.259,0.202,6.77614206634366e-08,"1","LGALS1"
"H2AFY",3.44901569224288e-11,0.630494217781147,0.283,0.23,9.01607192109212e-07,"1","H2AFY"
"S100A10",1.19220064942065e-10,0.61469982575061,0.264,0.21,3.11653171765052e-06,"1","S100A10"
"LYN",1.28104471143567e-10,0.55460044651021,0.286,0.232,3.34877898016399e-06,"1","LYN"
"FGR",2.42855888749355e-10,0.688589809778611,0.266,0.216,6.3484957877969e-06,"1","FGR"
"ACTG1",4.30013735465394e-10,0.250754828213255,0.461,0.392,1.12409890588009e-05,"1","ACTG1"
"IFITM2",8.81852860388822e-10,0.417455712401269,0.309,0.256,2.30525156234242e-05,"1","IFITM2"
"RPS9",2.23760979207139e-09,0.382845482420446,0.371,0.323,5.84933575745382e-05,"1","RPS9"
"DUSP1",3.99080597157526e-09,0.448866498911996,0.293,0.243,0.000104323658902949,"1","DUSP1"
"MX1",6.33462763818058e-09,0.351209685089501,0.447,0.392,0.000165593501089679,"1","MX1"
"RPS131",1.64017040938623e-08,0.305844211593233,0.451,0.406,0.000428756946717656,"1","RPS13"
"GAPDH",4.30056827652186e-08,0.586448313164431,0.255,0.213,0.00112421155316558,"1","GAPDH"
"HLA-DRB1",2.05131856086819e-07,0.312410975410986,0.351,0.302,0.00536235184996554,"1","HLA-DRB1"
"C10orf54",2.41017693117802e-07,0.517017808550843,0.271,0.23,0.00630044351579246,"1","C10orf54"
"GRB2",2.85785877342983e-06,0.407907857501028,0.331,0.297,0.0747072861962291,"1","GRB2"
"ARPC1B",1.23521887898529e-05,0.33928173030182,0.328,0.293,0.322898567155545,"1","ARPC1B"
"ARPC5",7.18726134579528e-05,0.325831018828801,0.326,0.299,1,"1","ARPC5"
"CYBA",0.000107330334583998,0.409526903694962,0.282,0.26,1,"1","CYBA"
"TMEM123",0.000137507908969619,0.316880720481173,0.357,0.334,1,"1","TMEM123"
"ITM2B",0.000171944338197863,0.341853632005539,0.351,0.332,1,"1","ITM2B"
"MYL12A",0.000218940358591972,0.27172260759403,0.352,0.329,1,"1","MYL12A"
"JUN",0.000415127308945205,0.296183881517338,0.252,0.222,1,"1","JUN"
"ALDOA",0.000602414481436243,0.437787398307594,0.285,0.268,1,"1","ALDOA"
"CD53",0.000688627774098484,0.304221886093698,0.315,0.297,1,"1","CD53"
"PFDN5",0.000721783200907965,0.319307627516779,0.319,0.301,1,"1","PFDN5"
"ARF1",0.000918213705095382,0.339757450076921,0.299,0.283,1,"1","ARF1"
"OAS2",0.00203241166229394,0.302618436739322,0.337,0.322,1,"1","OAS2"
"TNFRSF1B",0.00435690269575981,0.273929060270651,0.316,0.297,1,"1","TNFRSF1B"
"MNDA1",0,1.81338625409845,0.92,0.181,0,"2","MNDA"
"GRN1",0,2.05481706598883,0.95,0.212,0,"2","GRN"
"NCF21",0,1.86142484437671,0.86,0.144,0,"2","NCF2"
"CYBB1",0,1.98279557526503,0.961,0.246,0,"2","CYBB"
"SERPINA11",0,1.8440310354675,0.894,0.181,0,"2","SERPINA1"
"CD141",0,2.00873994181013,0.875,0.173,0,"2","CD14"
"MPEG11",0,1.94681844381994,0.825,0.13,0,"2","MPEG1"
"TKT1",0,1.81185015012015,0.887,0.194,0,"2","TKT"
"TYMP1",0,1.71134730437318,0.894,0.201,0,"2","TYMP"
"FCN11",0,1.88319443056975,0.964,0.272,0,"2","FCN1"
"COTL11",0,1.71926479300819,0.868,0.177,0,"2","COTL1"
"CTSB1",0,1.63772728863947,0.881,0.193,0,"2","CTSB"
"CST31",0,1.80010668827637,0.818,0.132,0,"2","CST3"
"LILRB2",0,2.13519908011571,0.766,0.092,0,"2","LILRB2"
"APLP21",0,1.97584722129505,0.979,0.324,0,"2","APLP2"
"FOS1",0,1.64877401417101,0.92,0.268,0,"2","FOS"
"IFITM31",0,1.66554420931876,0.972,0.325,0,"2","IFITM3"
"FPR11",0,1.73933059693516,0.757,0.11,0,"2","FPR1"
"FGL21",0,1.64104100897511,0.83,0.185,0,"2","FGL2"
"TYROBP2",0,1.2593440982317,0.924,0.286,0,"2","TYROBP"
"EMILIN2",0,2.05714130386323,0.712,0.074,0,"2","EMILIN2"
"AIF11",0,1.53577518987681,0.788,0.15,0,"2","AIF1"
"FGR1",0,1.557740083584,0.774,0.14,0,"2","FGR"
"LYN1",0,1.47430792377789,0.787,0.157,0,"2","LYN"
"SIGLEC1",0,2.10617426053268,0.708,0.078,0,"2","SIGLEC1"
"PLBD11",0,1.87182972656594,0.803,0.174,0,"2","PLBD1"
"CECR1",0,1.84062371971186,0.74,0.113,0,"2","CECR1"
"CTSD",0,1.66675058517421,0.756,0.134,0,"2","CTSD"
